COMUNA,Nombre Comuna,Barrio,Nombre del sitio,Dirección,Punto
1,POPULAR,VILLA GUADALUPE,Parque de Guadalupe,Carrera 42B # 95A-23,"(6.287079, -75.54946)"
1,POPULAR,SANTO DOMINGO SAVIO NO. 2,Plazoleta ubicada entre la IE Antonio Derka y la IE Santo Domingo Savio,Carrera 28 # 107-205,"(6.29766, -75.538073)"
1,BUENOS AIRES,LORETO,Unidad Deportiva Granizal,"Carrera 34 y 33 D x Calle 102 y 
102 B","(6.290982, -75.545322)"
10,LA CANDELARIA,LA CANDELARIA,Plazoleta de Abordaje Tranvia Estacion San Antonio,Clle 46 - Cra 51,"(6.246959, -75.568885)"
10,LA CANDELARIA,LA CANDELARIA,Plazoleta la Alpujarra,Calle 44 # 52-165,"(6.244349, -75.573574)"
10,LA CANDELARIA,BOSTON,Parque del Periodista,Carrera 43 con Calle 53,"(6.249381, -75.562003)"
10,LA CANDELARIA,LA CANDELARIA,Parque de los Pies Descalzos,Carrera 58 con calle 42,"(6.244678, -75.577137)"
10,LA CANDELARIA,LA CANDELARIA,Parque Berrio,Calle 50 # 51-65,"(6.250025, -75.568058)"
10,LA CANDELARIA,VILLA NUEVA,Parque Bolivar,Carrera 49 con Calle 54,"(6.252949, -75.564627)"
10,LA CANDELARIA,LA CANDELARIA,Plazuela San Ignacio,Carrera 44 con Calle 49,"(6.246425, -75.564473)"
10,LA CANDELARIA,GUAYAQUIL,Plazoleta de Cisneros,Calle 45 con Carrera 53,"(6.245917, -75.572391)"
10,LA CANDELARIA,LA CANDELARIA,Plaza Botero,Calle 52 con Av. Carabobo,"(6.252041, -75.568347)"
10,LA CANDELARIA,GUAYAQUIL,Parque de San Antonio,Calle 45 con Carrera 49,"(6.24561, -75.567943)"
10,LA CANDELARIA,BOSTON,Parque de Boston,Carrera 39 con CAlle 55,"(6.248112, -75.557691)"
10,LA CANDELARIA,BOSTON,Parque Bicentenario,Calle 51 con Carrera 38,"(6.246843, -75.557603)"
11,LAURELES,ESTADIO,Coliseo Ivan De Bedout,Calle 48 con Carrera 70,"(6.256366, -75.5876)"
11,LAURELES,LA CASTELLANA,Parque La Castellana,Carrera 83c con Calle 33,"(6.239072, -75.607658)"
11,LAURELES,LAS ACACIAS,Parque La Matea,Calle 34AA con Carrera 80B,"(6.241939, -75.601373)"
11,LAURELES,CUARTA BRIGADA,Parque Plan Parcial Invatex,Calle 52 con Carrera 74,"(6.262186, -75.589077)"
11,ARANJUEZ,MANRIQUE CENTRAL NO. 1,Pista De Atletismo Alfonso Galvis,Carrera 48 # 70-10,"(6.257701, -75.587561)"
11,LAURELES,LAURELES,Plazoleta de Banderas,Transversal 39 con Circular 74B,"(6.255301, -75.589658)"
11,LAURELES,CARLOS E. RESTREPO,Plazoleta Carlos E. Restrepo,Carrera 64B entre Calle 51 y 52,"(6.256437, -75.578856)"
11,LAURELES,LOS CONQUISTADORES,Parque Unicentro,Carrera 66 con Calle 34B,"(6.24093, -75.58591)"
11,LAURELES,SURAMERICANA,Parque Suramericana Alta,Carrera 68 Calle 49B,"(6.257168, -75.584546)"
11,GUAYABAL,CAMPO AMOR,Parque Los Mangos,Carrera 66B con Circular 6,"(6.244717, -75.584704)"
11,LAURELES,LAURELES ESTADIO,Complejo Acuatico,Carrera 72 # 48-100,"(6.254861, -75.590747)"
11,LAURELES,ESTADIO,Coliseo De Gimnasia,Calle 48 con Carrera 70,"(6.256119, -75.588848)"
11,LAURELES,LAURELES,Primer Parque Laureles,Calle 39D con Circular 74,"(6.245939, -75.5935)"
11,LAURELES,ESTADIO,Coliseo Voleibol Yesid Santos,Calle 48 con Carrera 70,"(6.255015, -75.588162)"
11,LAURELES,ESTADIO,Coliseo De Combate,Calle 48 con Carrera 70,"(6.254823, -75.588516)"
11,LAURELES,FLORIDA NUEVA,Parque El emperador,Carrera 75 entre calle 44A y calle 45B,"(6.25074, -75.594857)"
11,LAURELES,CUARTA BRIGADA,Diamante De Beisbol,calle 50 con carrera 74,"(6.260033, -75.590147)"
11,LAURELES,LORENA,Mall Laureles,Carrera 80 con Calle 37,"(6.245072, -75.600521)"
