Promocion,Ventas,Sucursal
5,37.11,"S1"
10,253.66,"S1"
15,365.99,"S1"
20,332.55,"S1"
30,696.9,"S1"
35,630.46,"S1"
45,983.19,"S1"
50,970.81,"S1"
5,174.27,"S1"
10,461.08,"S1"
15,220.51,"S1"
20,356.87,"S1"
25,643.73,"S1"
35,569.68,"S1"
40,783.68,"S1"
45,851.42,"S1"
50,989,"S1"
5,158.03,"S1"
10,304.78,"S1"
15,341.12,"S1"
20,275.97,"S1"
25,626.27,"S1"
30,611.65,"S1"
35,673.95,"S1"
40,756.95,"S1"
45,902.64,"S1"
50,864.47,"S1"
5,304.02,"S2"
10,642.09,"S2"
15,553.76,"S2"
20,780.91,"S2"
30,839.47,"S2"
35,1175.81,"S2"
40,1311.21,"S2"
45,1509.96,"S2"
50,1609.74,"S2"
5,127.62,"S2"
10,364.3,"S2"
15,653.46,"S2"
20,562.79,"S2"
30,835.43,"S2"
35,1034.45,"S2"
40,1401.45,"S2"
45,1475.83,"S2"
50,1732.41,"S2"
5,324.83,"S2"
10,376.92,"S2"
15,529.06,"S2"
20,1052.52,"S2"
25,907.74,"S2"
30,1019.03,"S2"
35,1100.47,"S2"
40,1384.42,"S2"
45,1465.75,"S2"
50,1710.47,"S2"
5,374.38,"S3"
10,457.05,"S3"
15,702.22,"S3"
20,936.25,"S3"
25,1072.36,"S3"
30,1348.33,"S3"
35,1448.29,"S3"
40,1749.71,"S3"
5,431.36,"S3"
10,550.1,"S3"
15,694.12,"S3"
20,1019.39,"S3"
25,1085.72,"S3"
30,1372.36,"S3"
35,1643.58,"S3"
40,1689.53,"S3"
45,1803.1,"S3"
50,2085.62,"S3"
5,461.67,"S3"
10,677.82,"S3"
15,853.42,"S3"
20,785.15,"S3"
25,1177.93,"S3"
30,1369.33,"S3"
35,1503.59,"S3"
40,1538.06,"S3"
45,1918.11,"S3"
50,2249.72,"S3"
5,456.53,"S4"
10,701.98,"S4"
15,758.45,"S4"
20,1175.23,"S4"
25,1376.46,"S4"
30,1515.39,"S4"
35,1714.47,"S4"
40,2132.87,"S4"
45,2489.53,"S4"
50,2488.55,"S4"
5,477.21,"S4"
10,382.19,"S4"
15,938.16,"S4"
20,913.42,"S4"
25,1407.72,"S4"
30,1497.17,"S4"
35,1804.39,"S4"
40,1994.16,"S4"
45,2347.15,"S4"
50,2434.02,"S4"
15,823.94,"S4"
20,1181.93,"S4"
25,1283.35,"S4"
30,1515.64,"S4"
35,1806.88,"S4"
40,2100.82,"S4"
45,2261.53,"S4"
50,2418.56,"S4"
