publicidad; ventas
4.325423;26.8955
5.254639;34.6593
4.565894;28.80486
5.316747;31.65357
2.738886;21.8747
0.9982307;18.5506
1.950572;22.23406
3.055346;25.81363
4.366232;32.38882
5.938422;28.12138
0.2072126;15.92082
0.9142409;15.05766
4.41411;29.34894
0.006819519;18.20038
2.34722;20.8679
2.774968;19.66015
2.328864;23.76287
2.414911;25.43171
1.073782;19.25505
5.709953;29.53851
2.722368;23.27634
1.960514;19.31224
5.792492;30.27877
4.244891;32.3957
3.867256;29.40718
2.338971;23.90211
4.191262;29.2263
3.264347;23.16996
1.358803;20.02891
2.907347;25.76456
4.758043;30.5649
0.03592578;17.19406
1.126275;17.77009
4.091002;32.22723
2.220625;23.60432
2.169753;25.24346
5.212769;31.98239
5.424928;30.65888
3.704547;27.18669
0.8041898;19.06231
4.69316;27.15168
2.575193;21.01541
5.563644;35.46483
4.639459;28.13474
1.558087;17.713
1.927348;22.15671
0.3611709;15.07343
0.2607387;20.09766
0.3303229;14.79137
3.753257;24.87068
5.786822;32.80832
4.963817;27.579
1.890169;21.51535
1.278153;16.18495
4.394977;28.4671
2.995446;22.91424
4.378632;27.51268
0.4820163;19.55827
2.613183;21.94348
1.419483;19.9007
4.749407;26.78788
1.552106;17.0082
5.915903;35.27019
4.541242;31.26219
5.878669;32.4745
1.313687;17.93088
5.692243;31.97242
0.8967477;18.94796
3.602142;30.16643
5.678585;31.89772
4.13012;30.48009
3.033202;26.74251
2.237617;22.35716
2.01483;24.1064
0.2895081;15.02604
3.713685;23.82341
5.768684;28.61531
3.929763;29.10394
3.061752;19.93816
0.9005893;15.3097
5.222687;33.95245
3.08665;26.02726
0.05188748;16.20541
0.1151686;12.97619
0.8670714;22.91279
1.830191;18.39474
4.953941;27.83958
3.014068;25.38005
4.821436;29.72266
0.3638399;15.24637
5.567731;29.42266
4.849071;26.95978
0.47288;15.22924
3.60557;22.81508
4.288679;27.89775
3.083074;25.32956
4.320699;24.86751
4.499678;30.19834
0.5738431;18.51356
2.386955;22.43825
