x1;x2;y
-0.4088655186;-0.817028092;Pop 1
-1.4151713876; 0.177618054;Pop 1
 0.4737903726;-0.490551127;Pop 1
-0.0737808599;-0.901740099;Pop 1
-1.5831584604; 1.053104490;Pop 1
 0.8168555064;-0.872879747;Pop 1
-2.3771489911;-0.361253481;Pop 1
-0.1197294403; 0.541187585;Pop 1
-1.3150662988; 0.806347911;Pop 1
 0.8133529313;-1.135035310;Pop 1
 0.0028386645; 0.637994666;Pop 1
 1.5542655068; 0.934203165;Pop 1
-1.6539784553; 0.770622370;Pop 1
-0.3524901813; 0.456776637;Pop 1
-0.5293189930; 0.132326377;Pop 1
 0.3621203718;-1.563355796;Pop 1
 1.4887724147; 1.706068442;Pop 1
-0.8190669141;-0.527212875;Pop 1
 1.5741090196; 0.007316296;Pop 1
 0.2758599969; 0.509680688;Pop 1
 0.3630611481; 0.171354664;Pop 1
-0.6327746752; 0.328237465;Pop 1
 0.2500338335; 0.714637483;Pop 1
-0.8087151058; 1.482293109;Pop 1
-0.3499035180;-1.232674250;Pop 1
 0.7137220978;-0.342177041;Pop 1
-0.7818792770;-0.977272710;Pop 1
-0.3244883623; 0.178138723;Pop 1
-0.2103819604; 1.184504841;Pop 1
 0.8798412520;-0.524949654;Pop 1
-0.6132250271; 1.269514074;Pop 1
-0.9230625756; 0.103413114;Pop 1
-0.6953302206;-0.877904648;Pop 1
-1.5359046902;-1.424111800;Pop 1
 0.1818814295;-1.219209992;Pop 1
-0.7937629499; 0.118850651;Pop 1
 0.4126550686; 0.150831323;Pop 1
-1.2684002377; 0.376539580;Pop 1
-0.4567728917; 1.603624934;Pop 1
 0.0483263544;-0.340302993;Pop 1
-1.0558144953; 0.364364852;Pop 1
 1.3990854507; 0.475450255;Pop 1
-0.9393880471; 0.069008817;Pop 1
-0.2683443512;-0.215757833;Pop 1
-0.8770756386;-1.446722231;Pop 1
-0.1969379128; 0.170604382;Pop 1
-1.8415927854;-0.077416906;Pop 1
 0.3073872335;-2.690421768;Pop 1
-2.4469952014;-0.218747060;Pop 1
 1.1329837700;-0.067962492;Pop 1
-0.9054174024; 1.019945918;Pop 1
 0.2131219975; 0.246666371;Pop 1
 0.2570502323; 2.836168566;Pop 1
 0.9319218480; 0.152340202;Pop 1
-0.4948858140;-0.694905541;Pop 1
 1.3840765980;-0.020211882;Pop 1
-0.5225028454;-1.773361362;Pop 1
-1.5895869175;-1.459873395;Pop 1
 1.3845343348; 0.822594222;Pop 1
 1.3653107632;-0.373682716;Pop 1
 1.1853793383;-0.166247042;Pop 1
-1.9081864669; 1.293734966;Pop 1
-0.5782527563; 1.194875238;Pop 1
-0.2545800025;-0.424086304;Pop 1
-2.2163158062; 1.495591304;Pop 1
-0.6116453503; 1.654708083;Pop 1
