x1;x2;y
 1.3823344467;-0.045213135;Pop 1
 1.4549117978;-1.807683004;Pop 1
 2.3593089766;-0.323958604;Pop 1
 0.0654694412; 0.761329906;Pop 1
-0.0684902073;-0.207249201;Pop 1
 0.7149229213; 0.296581009;Pop 1
 1.4937061136; 1.718474982;Pop 1
 0.7654051404;-0.228194541;Pop 1
-0.0004792237; 0.248408343;Pop 1
-1.3730953800; 1.887767735;Pop 1
 2.5548979647; 0.200133796;Pop 2
 2.9806430286; 0.433808469;Pop 2
 3.4284307071; 1.119001407;Pop 2
 1.5385761783; 2.802839480;Pop 2
 1.9206093671; 1.552894516;Pop 2
 2.9603100109; 0.250157288;Pop 2
 2.8058915544; 2.360468403;Pop 2
 1.5180460582; 1.590613013;Pop 2
 2.0079858232; 2.596991792;Pop 2
 2.2142667078; 0.596603355;Pop 2
